"","X","police_department","driver_race","num_stops","num_searches","num_hits","search_rate","hit_rate","thresholds","total_stops"
"90",222,"Dallas County","Asian",7265,60,13,0.00825877494838266,0.216666666666667,0.206518887828482,162001
"91",223,"Dallas County","Black",38064,903,316,0.0237232030264817,0.349944629014396,0.257866317008788,162001
"92",224,"Dallas County","Hispanic",24430,483,162,0.0197707736389685,0.335403726708075,0.181619480638862,162001
"93",226,"Dallas County","White",92242,961,354,0.010418247652913,0.368366285119667,0.263068106678529,162001
"94",240,"Denton County","Asian",8088,85,31,0.0105093966369931,0.364705882352941,0.240570868289266,238726
"95",241,"Denton County","Black",29960,1309,485,0.0436915887850467,0.370511841100076,0.235739537101839,238726
"96",242,"Denton County","Hispanic",36680,1271,371,0.0346510359869139,0.291896144767899,0.157110544542349,238726
"97",244,"Denton County","White",163998,3688,1330,0.0224880791229161,0.360629067245119,0.231102943885723,238726
"98",260,"Eastland County","Asian",1585,11,2,0.00694006309148265,0.181818181818182,0.308617423625992,110422
"99",261,"Eastland County","Black",10217,522,211,0.0510913183909171,0.404214559386973,0.247886426894102,110422
"100",262,"Eastland County","Hispanic",19063,636,239,0.0333630593295914,0.375786163522013,0.187270104082209,110422
"101",264,"Eastland County","White",79557,1398,654,0.0175723066480637,0.467811158798283,0.310645666833944,110422
"102",265,"Ector County","Asian",497,11,5,0.0221327967806841,0.454545454545455,0.22806263439062,134031
"103",266,"Ector County","Black",4625,261,74,0.0564324324324324,0.283524904214559,0.220022099053067,134031
"104",267,"Ector County","Hispanic",64500,2715,888,0.042093023255814,0.32707182320442,0.152134929235238,134031
"105",269,"Ector County","White",64409,2307,736,0.0358179757487308,0.319029042045947,0.196038586560949,134031
"106",273,"El Paso County","Asian",2140,22,7,0.0102803738317757,0.318181818181818,0.19470932033375,313122
"107",274,"El Paso County","Black",12022,383,145,0.031858259856929,0.378590078328982,0.229583181838369,313122
"108",275,"El Paso County","Hispanic",213302,4728,1337,0.0221657555953531,0.282783417935702,0.168371099156049,313122
"109",277,"El Paso County","White",85658,1981,505,0.0231268533003339,0.254921756688541,0.184165020260128,313122
"110",278,"Ellis County","Asian",3002,28,9,0.00932711525649567,0.321428571428571,0.262740215160849,152512
"111",279,"Ellis County","Black",23114,833,320,0.0360387643852211,0.384153661464586,0.270066843073466,152512
"112",280,"Ellis County","Hispanic",27472,1258,358,0.0457920792079208,0.284578696343402,0.135873165333514,152512
"113",282,"Ellis County","White",98924,2155,851,0.0217844001455663,0.394895591647332,0.248887588965271,152512
"114",283,"Erath County","Asian",553,6,2,0.0108499095840868,0.333333333333333,0.221043091609649,98706
"115",284,"Erath County","Black",2516,91,30,0.0361685214626391,0.32967032967033,0.239826870752014,98706
"116",285,"Erath County","Hispanic",14294,396,130,0.0277039317196026,0.328282828282828,0.169485952636813,98706
"117",286,"Erath County","White",81343,1525,531,0.0187477717812227,0.348196721311475,0.23217722070679,98706
"118",295,"Fayette County","Asian",5149,22,11,0.00427267430569042,0.5,0.269503382989941,95815
"119",296,"Fayette County","Black",10537,220,100,0.02087880800987,0.454545454545455,0.293714535094067,95815
"120",297,"Fayette County","Hispanic",20312,386,134,0.0190035447026388,0.347150259067358,0.200013828830022,95815
"121",299,"Fayette County","White",59817,421,172,0.00703813297223197,0.40855106888361,0.327387463169243,95815
"122",309,"Fort Bend County","Asian",24211,131,30,0.0054107637024493,0.229007633587786,0.185614915680927,290379
"123",310,"Fort Bend County","Black",62665,1103,325,0.0176015319556371,0.294650951949229,0.235164202956847,290379
"124",311,"Fort Bend County","Hispanic",78575,1834,399,0.0233407572383073,0.217557251908397,0.13457671487643,290379
"125",313,"Fort Bend County","White",124928,1977,520,0.0158251152663934,0.26302478502782,0.178150121565457,290379
"126",319,"Freestone County","Asian",3562,24,8,0.00673778775968557,0.333333333333333,0.207757316667341,90665
"127",320,"Freestone County","Black",18073,384,131,0.0212471642782051,0.341145833333333,0.255885017573514,90665
"128",321,"Freestone County","Hispanic",15249,478,113,0.0313463177913306,0.236401673640167,0.134429324753185,90665
"129",322,"Freestone County","White",53781,597,205,0.0111005745523512,0.343383584589615,0.241910150598173,90665
"130",323,"Frio County","Black",3707,105,18,0.0283247909360669,0.171428571428571,0.15480222404284,126416
"131",324,"Frio County","Hispanic",85192,3572,432,0.0419288196074749,0.120940649496081,0.0788786483497504,126416
"132",325,"Frio County","White",37517,818,137,0.0218034491030733,0.167481662591687,0.118835932094508,126416
"133",331,"Galveston County","Asian",4521,18,6,0.0039814200398142,0.333333333333333,0.266011826104833,175808
"134",332,"Galveston County","Black",33050,911,293,0.0275642965204236,0.321624588364435,0.253558450494039,175808
"135",333,"Galveston County","Hispanic",38046,869,321,0.0228407716974189,0.369390103567319,0.179674642013762,175808
"136",335,"Galveston County","White",100191,1487,512,0.0148416524438323,0.344317417619368,0.241540609180328,175808
"137",351,"Gonzales County","Asian",4034,23,10,0.00570153693604363,0.434782608695652,0.166619523255677,133851
"138",352,"Gonzales County","Black",14604,318,84,0.0217748562037798,0.264150943396226,0.196749184964969,133851
"139",353,"Gonzales County","Hispanic",42595,1813,204,0.0425636811832375,0.112520683949255,0.086352040666915,133851
"140",355,"Gonzales County","White",72618,1098,310,0.0151202181277369,0.282331511839709,0.163743131906247,133851
"141",361,"Grayson County","Asian",1565,18,1,0.0115015974440895,0.0555555555555556,0.129886856520399,142840
"142",362,"Grayson County","Black",10144,286,65,0.0281940063091483,0.227272727272727,0.17478410332174,142840
"143",363,"Grayson County","Hispanic",11580,322,52,0.0278065630397237,0.161490683229814,0.10747443161587,142840
"144",365,"Grayson County","White",119551,1468,336,0.0122792782996378,0.228882833787466,0.166591879892202,142840
"145",366,"Gregg County","Asian",1638,37,4,0.0225885225885226,0.108108108108108,0.200335553792654,174955
"146",367,"Gregg County","Black",44777,2602,968,0.0581101904995868,0.372021521906226,0.223940426097388,174955
"147",368,"Gregg County","Hispanic",18801,985,272,0.0523908302749854,0.276142131979695,0.13063781973682,174955
"148",369,"Gregg County","White",109739,2938,1110,0.026772615022918,0.377808032675289,0.236637578116722,174955
"149",374,"Guadalupe County","Asian",3836,47,17,0.012252346193952,0.361702127659574,0.186077994120921,177193
"150",375,"Guadalupe County","Black",17318,540,189,0.0311814297262963,0.35,0.230288466170101,177193
"151",376,"Guadalupe County","Hispanic",52343,1469,326,0.0280648797355902,0.221919673247107,0.146359526654566,177193
"152",378,"Guadalupe County","White",103696,1981,640,0.0191039191482796,0.323069156991418,0.203698136192911,177193
"153",379,"Hale County","Asian",779,7,3,0.00898587933247754,0.428571428571429,0.21845748306257,95543
"154",380,"Hale County","Black",5221,299,95,0.0572687224669604,0.317725752508361,0.188056837614775,95543
"155",381,"Hale County","Hispanic",30780,1019,269,0.0331059129304743,0.263984298331698,0.145523062007637,95543
"156",382,"Hale County","White",58763,1102,349,0.0187532971427599,0.316696914700544,0.219882942005854,95543
"157",400,"Harris County","Asian",25384,125,38,0.00492436180271037,0.304,0.233874954785102,597761
"158",401,"Harris County","Black",153225,3429,1196,0.0223788546255507,0.348789734616506,0.254977256680481,597761
"159",402,"Harris County","Hispanic",159053,2381,722,0.0149698528163568,0.303233935321294,0.198430041070851,597761
"160",404,"Harris County","White",260099,3718,1263,0.0142945570724993,0.339698762775686,0.223712296677839,597761
"161",405,"Harrison County","Asian",1800,36,4,0.02,0.111111111111111,0.118414695988538,212532
"162",406,"Harrison County","Black",52040,1842,426,0.0353958493466564,0.231270358306189,0.168455767704945,212532
"163",407,"Harrison County","Hispanic",17010,765,99,0.044973544973545,0.129411764705882,0.0880316066551558,212532
"164",409,"Harrison County","White",141682,2414,580,0.0170381558701882,0.24026512013256,0.15871584040788,212532
"165",419,"Hays County","Asian",2576,21,6,0.00815217391304348,0.285714285714286,0.230828893723551,162616
"166",420,"Hays County","Black",9680,222,84,0.0229338842975207,0.378378378378378,0.285657523741174,162616
"167",421,"Hays County","Hispanic",47254,1234,381,0.026114191391205,0.308752025931929,0.171428400810951,162616
"168",423,"Hays County","White",103106,1985,669,0.0192520318895118,0.337027707808564,0.224866930546864,162616
"169",428,"Henderson County","Asian",670,10,4,0.0149253731343284,0.4,0.20961516231966,111884
"170",429,"Henderson County","Black",10987,389,116,0.0354054792026941,0.298200514138817,0.241771885972205,111884
"171",430,"Henderson County","Hispanic",11003,376,126,0.0341724984095247,0.335106382978723,0.152208969245149,111884
"172",432,"Henderson County","White",89224,2296,744,0.0257329866403658,0.32404181184669,0.201302522459861,111884
"173",433,"Hidalgo County","Asian",1952,16,1,0.00819672131147541,0.0625,0.0739729869423895,809505
"174",434,"Hidalgo County","Black",4589,143,8,0.0311614730878187,0.0559440559440559,0.0983436736490352,809505
"175",435,"Hidalgo County","Hispanic",694469,11953,1065,0.0172117113938851,0.0890989709696311,0.069396943844587,809505
"176",437,"Hidalgo County","White",108495,2280,243,0.0210147933084474,0.106578947368421,0.0749059906248728,809505
"177",438,"Hill County","Asian",2327,34,5,0.0146110872367856,0.147058823529412,0.185778811565259,115370
"178",439,"Hill County","Black",13919,594,215,0.0426754795603132,0.361952861952862,0.216044009233556,115370
"179",440,"Hill County","Hispanic",22397,1172,233,0.0523284368442202,0.198805460750853,0.108094105981516,115370
"180",442,"Hill County","White",76727,1610,511,0.0209834869081288,0.317391304347826,0.209837484249407,115370
"181",448,"Hood County","Asian",703,5,2,0.00711237553342817,0.4,0.266965927855561,125381
"182",449,"Hood County","Black",2341,93,30,0.0397266125587356,0.32258064516129,0.248923812434551,125381
"183",450,"Hood County","Hispanic",12115,315,93,0.0260008254230293,0.295238095238095,0.188659800221626,125381
"184",452,"Hood County","White",110222,3234,1117,0.02934078496126,0.34539270253556,0.204609786043498,125381
"185",453,"Hopkins County","Asian",1739,36,5,0.0207015526164462,0.138888888888889,0.165991288579442,124014
"186",454,"Hopkins County","Black",18564,1233,385,0.0664188752424047,0.312246553122466,0.169000779357166,124014
"187",455,"Hopkins County","Hispanic",16153,1219,160,0.0754658577354052,0.131255127153404,0.0788916433818631,124014
"188",457,"Hopkins County","White",87558,2030,652,0.0231846319011398,0.321182266009852,0.200456585644543,124014
"189",467,"Hudspeth County","Asian",2093,33,4,0.0157668418537984,0.121212121212121,0.122343907278458,111816
"190",468,"Hudspeth County","Black",9012,248,74,0.0275188637372392,0.298387096774194,0.181321406506176,111816
"191",469,"Hudspeth County","Hispanic",48598,1144,159,0.0235400633770937,0.138986013986014,0.117498349702317,111816
"192",471,"Hudspeth County","White",52113,788,205,0.015120987085756,0.260152284263959,0.159668151873501,111816
"193",472,"Hunt County","Asian",2697,25,3,0.00926955876900259,0.12,0.176199016458798,211253
"194",473,"Hunt County","Black",29033,1098,347,0.037819033513588,0.316029143897996,0.195365771319685,211253
"195",474,"Hunt County","Hispanic",22577,734,112,0.0325109624839438,0.152588555858311,0.123246744660729,211253
"196",476,"Hunt County","White",156946,2102,638,0.0133931415901011,0.303520456707897,0.210693536946312,211253
"197",494,"Jasper County","Black",21615,167,48,0.00772611612306269,0.287425149700599,0.248886924576142,148128
"198",495,"Jasper County","Hispanic",6880,52,11,0.00755813953488372,0.211538461538462,0.169048892758425,148128
"199",496,"Jasper County","White",119633,720,192,0.00601840629257813,0.266666666666667,0.202666425710776,148128
"200",500,"Jefferson County","Asian",4661,52,17,0.0111564042051062,0.326923076923077,0.172723533639843,175767
"201",501,"Jefferson County","Black",43580,1146,351,0.0262964662689307,0.306282722513089,0.225747228869982,175767
"202",502,"Jefferson County","Hispanic",21744,436,75,0.0200515084621045,0.172018348623853,0.157870411774145,175767
"203",504,"Jefferson County","White",105782,1839,568,0.0173848102701783,0.308863512778684,0.192967179279375,175767
"204",509,"Jim Wells County","Black",1727,27,2,0.0156340474811812,0.0740740740740741,0.179244657957473,115293
"205",510,"Jim Wells County","Hispanic",78101,1260,200,0.0161329560440967,0.158730158730159,0.116917241294232,115293
"206",511,"Jim Wells County","White",35465,587,108,0.0165515296771465,0.183986371379898,0.130045337177904,115293
"207",512,"Johnson County","Asian",1225,9,2,0.0073469387755102,0.222222222222222,0.262658504332802,156703
"208",513,"Johnson County","Black",8682,186,66,0.0214236351071182,0.354838709677419,0.320663985609799,156703
"209",514,"Johnson County","Hispanic",22395,471,149,0.0210314802411252,0.316348195329087,0.211112012308265,156703
"210",516,"Johnson County","White",124401,2381,983,0.0191397175263864,0.412851742965141,0.254658702430468,156703
"211",525,"Kaufman County","Asian",1847,33,6,0.0178668110449377,0.181818181818182,0.212105079799885,189607
"212",526,"Kaufman County","Black",46692,2742,963,0.0587252634284246,0.351203501094092,0.210609966093534,189607
"213",527,"Kaufman County","Hispanic",22929,953,259,0.0415630860482359,0.271773347324239,0.144533938050698,189607
"214",529,"Kaufman County","White",118139,3662,1296,0.0309973844369768,0.35390496996177,0.207280637589691,189607
"215",556,"Kleberg County","Black",2665,77,6,0.0288930581613508,0.0779220779220779,0.124042664422731,95765
"216",557,"Kleberg County","Hispanic",65131,1623,169,0.0249190093810935,0.104128157732594,0.0783771024295275,95765
"217",558,"Kleberg County","White",27969,376,47,0.0134434552540312,0.125,0.108598673257221,95765
"218",562,"La Salle County","Asian",502,4,1,0.00796812749003984,0.25,0.0745518784371123,95735
"219",563,"La Salle County","Black",2157,31,2,0.014371812702828,0.0645161290322581,0.116352034775959,95735
"220",564,"La Salle County","Hispanic",66971,1227,84,0.0183213629780054,0.0684596577017115,0.0676563440561476,95735
"221",565,"La Salle County","White",26105,410,35,0.0157058034859222,0.0853658536585366,0.0806106356283672,95735
"222",588,"Leon County","Asian",3586,19,3,0.0052983825989961,0.157894736842105,0.22993122817849,87539
"223",589,"Leon County","Black",20496,407,162,0.0198575331772053,0.398034398034398,0.277447634642691,87539
"224",590,"Leon County","Hispanic",15969,435,110,0.0272402780387,0.252873563218391,0.151938598622386,87539
"225",591,"Leon County","White",47488,611,214,0.0128664083557951,0.350245499181669,0.242254562284565,87539
"226",592,"Liberty County","Asian",879,15,5,0.0170648464163823,0.333333333333333,0.223650378557123,124779
"227",593,"Liberty County","Black",21401,864,399,0.0403719452362039,0.461805555555556,0.263891625438278,124779
"228",594,"Liberty County","Hispanic",14037,355,89,0.0252903041960533,0.250704225352113,0.196892609133219,124779
"229",596,"Liberty County","White",88462,1872,718,0.0211616287219371,0.383547008547009,0.252802903339328,124779
"230",603,"Live Oak County","Black",3952,42,11,0.0106275303643725,0.261904761904762,0.182695499089445,106373
"231",604,"Live Oak County","Hispanic",51019,679,98,0.0133087673219781,0.144329896907216,0.112588939870231,106373
"232",605,"Live Oak County","White",51402,558,90,0.0108556087311778,0.161290322580645,0.133635372301984,106373
"233",613,"Lubbock County","Asian",975,17,3,0.0174358974358974,0.176470588235294,0.209835244889072,157716
"234",614,"Lubbock County","Black",10995,700,220,0.0636653024101864,0.314285714285714,0.206338638008985,157716
"235",615,"Lubbock County","Hispanic",45455,2450,693,0.0538994610053899,0.282857142857143,0.128996790850655,157716
"236",617,"Lubbock County","White",100291,2796,844,0.0278788724810801,0.301859799713877,0.213456303497875,157716
"237",640,"Maverick County","Black",1382,37,2,0.0267727930535456,0.0540540540540541,0.110401851033863,124057
"238",641,"Maverick County","Hispanic",99107,2203,204,0.0222285005095503,0.0926009986382206,0.0699118411440204,124057
"239",643,"Maverick County","White",23568,493,31,0.020918194161575,0.0628803245436105,0.0812923835515678,124057
