,police_department,driver_race,num_stops,num_searches,num_hits,search_rate,hit_rate
683,Montague County,White,73709,950,484,0.012888521076123675,0.5094736842105263
684,Montgomery County,Asian,8171,104,34,0.012727940276587933,0.3269230769230769
685,Montgomery County,Black,56697,2880,1092,0.05079633843060479,0.37916666666666665
686,Montgomery County,Hispanic,103406,3849,1327,0.0372222114770903,0.344764873993245
688,Montgomery County,White,358179,12250,4507,0.03420077670661876,0.3679183673469388
701,Nacogdoches County,Asian,1017,6,2,0.0058997050147492625,0.3333333333333333
702,Nacogdoches County,Black,26138,425,115,0.0162598515571199,0.27058823529411763
703,Nacogdoches County,Hispanic,17333,319,43,0.018404200080770785,0.13479623824451412
704,Nacogdoches County,White,93940,693,169,0.007377049180327869,0.24386724386724387
705,Navarro County,Asian,4095,96,21,0.023443223443223443,0.21875
706,Navarro County,Black,23988,1559,575,0.06499082874770719,0.3688261706221937
707,Navarro County,Hispanic,17767,1155,271,0.06500816119772612,0.23463203463203464
709,Navarro County,White,66737,2328,698,0.03488319822587171,0.29982817869415807
713,Nolan County,Asian,1539,24,4,0.015594541910331383,0.16666666666666666
714,Nolan County,Black,9480,646,247,0.06814345991561181,0.38235294117647056
715,Nolan County,Hispanic,23002,1210,363,0.0526041213807495,0.3
717,Nolan County,White,71483,2086,846,0.029181763496215884,0.4055608820709492
718,Nueces County,Asian,1600,5,1,0.003125,0.2
719,Nueces County,Black,5536,94,35,0.016979768786127166,0.3723404255319149
720,Nueces County,Hispanic,86476,1110,238,0.012835931356676997,0.21441441441441442
721,Nueces County,White,66651,626,220,0.00939220716868464,0.3514376996805112
730,Orange County,Asian,2131,23,1,0.010793054903801032,0.043478260869565216
731,Orange County,Black,19433,774,138,0.03982915658930685,0.17829457364341086
732,Orange County,Hispanic,10391,378,52,0.03637763449138678,0.13756613756613756
734,Orange County,White,105666,2203,520,0.02084871197925539,0.23604176123468
735,Palo Pinto County,Asian,1007,16,3,0.015888778550148957,0.1875
736,Palo Pinto County,Black,7196,436,142,0.06058921623123958,0.3256880733944954
737,Palo Pinto County,Hispanic,15726,795,173,0.05055322396032049,0.21761006289308177
739,Palo Pinto County,White,81728,2424,820,0.02965935787000783,0.33828382838283827
744,Parker County,Asian,2124,29,11,0.013653483992467044,0.3793103448275862
745,Parker County,Black,11017,381,144,0.03458291730961242,0.3779527559055118
746,Parker County,Hispanic,30028,820,271,0.027307846010390303,0.3304878048780488
748,Parker County,White,243766,4418,1558,0.01812393853121436,0.35264825712992304
752,Pecos County,Asian,2331,29,5,0.012441012441012441,0.1724137931034483
753,Pecos County,Black,8657,329,117,0.038003927457548804,0.3556231003039514
754,Pecos County,Hispanic,54245,914,185,0.016849479214674164,0.2024070021881838
756,Pecos County,White,78594,1026,339,0.013054431636002749,0.3304093567251462
757,Polk County,Black,15688,393,115,0.025050994390617032,0.2926208651399491
758,Polk County,Hispanic,9684,254,34,0.026228831061544815,0.13385826771653545
760,Polk County,White,62308,944,262,0.015150542466456956,0.2775423728813559
761,Potter County,Asian,2461,49,16,0.019910605444941082,0.32653061224489793
762,Potter County,Black,7091,348,149,0.04907629389366803,0.4281609195402299
763,Potter County,Hispanic,21940,641,183,0.029216043755697356,0.28549141965678626
765,Potter County,White,74416,1150,381,0.01545366587830574,0.331304347826087
772,Randall County,Asian,1024,4,1,0.00390625,0.25
773,Randall County,Black,4335,89,27,0.02053056516724337,0.30337078651685395
774,Randall County,Hispanic,25632,450,136,0.0175561797752809,0.3022222222222222
