County,Asian_Thresh,Black_Thresh,Hispanic_Thresh,White_Thresh,Asian_Stop_N,Black_Stop_N,Hispanic_Stop_N,White_Stop_N,Asian_Search_N,Black_Search_N,Hispanic_Search_N,White_Search_N,Asian_Hit_N,Black_Hit_N,Hispanic_Hit_N,White_Hit_N
San Jacinto County,0.232776695,0.264224139,0.190251512,0.261832607,1183,18381,10860,77242,7,488,210,965,1,204,52,362
San Patricio County,,0.224569289,0.146496929,0.182449518,,6761,80193,77570,,82,1034,701,,28,204,176
Smith County,0.184519203,0.18931043,0.111239383,0.192272884,3411,70120,32634,207418,45,3371,1493,4734,9,934,353,1477
Starr County,,0.124248514,0.085439525,0.090913497,,1135,265397,36798,,42,6470,1087,,3,813,111
Taylor County,0.246846004,0.277389407,0.216399931,0.2730334,1175,8043,18201,92342,7,206,322,1148,3,88,137,425
Titus County,0.163939331,0.205503197,0.123947971,0.201147798,1262,18831,18221,77382,15,609,591,1102,2,194,122,300
Tom Green County,0.239372146,0.25230102,0.156583525,0.260425081,848,5831,36809,103434,6,186,1144,1506,2,63,328,576
Travis County,0.223419596,0.25160673,0.158900131,0.258228889,9379,29743,70460,205757,104,1173,2582,3458,20,437,799,1204
Upshur County,0.276284967,0.317417477,0.204534874,0.273337132,374,11200,6866,77742,2,284,176,1378,1,131,78,565
Van Zandt County,0.225978629,0.225149329,0.130413258,0.245486281,2016,29525,13818,110764,36,1801,767,2806,11,699,204,1036
Victoria County,0.135833518,0.187577158,0.09789144,0.159015022,1390,8312,57217,61235,12,169,1803,785,3,34,259,187
Walker County,0.24048066,0.239379492,0.149680813,0.23160325,3168,32326,21703,94835,26,1195,731,1857,8,420,201,677
Waller County,0.272672762,0.248536037,0.144342388,0.238295114,2814,21681,22024,54633,37,1120,1035,1586,17,459,319,629
Webb County,0.064920489,0.106071111,0.064191737,0.079667064,769,2558,209478,45423,15,61,4729,776,1,9,384,72
Wharton County,0.212333103,0.229289928,0.11283879,0.193899992,1991,11693,45224,44616,18,423,2158,1037,6,172,445,290
Wichita County,0.2158792,0.269954596,0.159709223,0.264359989,1329,8562,10491,83554,26,354,422,1723,8,169,147,667
Willacy County,,0.084957473,0.046476837,0.064422656,,2046,82656,27001,,70,3257,595,,4,176,39
Williamson County,0.235105189,0.296634842,0.172149883,0.242163474,9038,32293,66346,220337,81,734,1754,3871,30,313,509,1435
Wise County,0.204428256,0.238876972,0.157407504,0.227627206,2713,14186,30967,218768,31,495,923,4081,3,170,263,1415
Wood County,,0.203653595,0.118283282,0.176850537,,5877,5973,86932,,126,146,1092,,40,10,274
